"CO2, CH4 and N2O Emission Factors for US by Vehicle Distance",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Vehicle and Fuel and Vehicle Year,Region,CH4,CH4 Unit - Numerator,CH4 Unit - Denominator,N2O,N2O Unit - Numerator,N2O Unit - Denominator,Default Scope,Mode of Transport,Fuel Efficiency,Fuel Efficiency Unit - Numerator,Fuel Efficiency Unit - Denominator,Fuel,CO2,CO2 - Biomass Fuel,CO2 Unit - Numerator,CO2 Unit - Denominator,,
Light Goods Vehicle - Gasoline - Year 1998,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1999,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2000,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2001,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2002,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2003,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2004,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2005-present,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Diesel - Year 1960-1982,Other,,,,,,,,Road,16.2,Mile,US Gallon,On-Road Diesel Fuel,0.62537037,,Kilogram,Mile,,
Light Goods Vehicle - Diesel - Year 1983-1995,Other,,,,,,,,Road,16.2,Mile,US Gallon,On-Road Diesel Fuel,0.62537037,,Kilogram,Mile,,
Light Goods Vehicle - Diesel - Year 1996-present,Other,,,,,,,,Road,16.2,Mile,US Gallon,On-Road Diesel Fuel,0.62537037,,Kilogram,Mile,,
Light Goods Vehicle - Fuel Unknown,Other,,,,,,,,Road,16.2,Mile,US Gallon,,,,,,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1985-1986,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1987,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1988-1989,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1990-1995,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1996,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1997,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1998,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1999,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2000,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2001,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2002,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2003,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2004,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2005-present,Other,,,,,,,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,0.977128976,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Diesel - Year 1960-present,Other,,,,,,,,Road,8.8,Mile,US Gallon,On-Road Diesel Fuel,1.15125,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - CNG,Other,,,,,,,,Road,8.8,Mile,US Gallon,CNG,,,,,,
Heavy Duty Vehicle - Rigid - LNG,Other,,,,,,,,Road,8.8,Mile,US Gallon,LNG,0.506818182,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - LPG,Other,,,,,,,,Road,8.8,Mile,US Gallon,LPG,0.693181818,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Ethanol,Other,,,,,,,,Road,8.8,Mile,US Gallon,Ethanol,,0.631818182,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Fuel Unknown,Other,,,,,,,,Road,8.8,Mile,US Gallon,,,,,,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1985-1986,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1987,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1988-1989,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1990-1995,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1996,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1997,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1998,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1999,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2000,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2001,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2002,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2003,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2004,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2005-present,Other,,,,,,,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.45741271,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Diesel - Year 1960-present,Other,,,,,,,,Road,5.9,Mile,US Gallon,On-Road Diesel Fuel,1.717118644,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - CNG,Other,,,,,,,,Road,5.9,Mile,US Gallon,CNG,,,,,,
Heavy Duty Vehicle - Articulated - LNG,Other,,,,,,,,Road,5.9,Mile,US Gallon,LNG,0.755932203,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - LPG,Other,,,,,,,,Road,5.9,Mile,US Gallon,LPG,1.033898305,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Ethanol,Other,,,,,,,,Road,5.9,Mile,US Gallon,Ethanol,,0.942372881,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Fuel Unknown,Other,,,,,,,,Road,5.9,Mile,US Gallon,,,,,,,
Motorbike - Non-Catalyst Control,Other,,,,,,,,Road,50,Mile,US Gallon,On-Road Diesel Fuel,0.20262,,Kilogram,Mile,,
Motorbike - Uncontrolled,Other,,,,,,,,Road,50,Mile,US Gallon,On-Road Diesel Fuel,0.20262,,Kilogram,Mile,,
Motorbike - Control Unknown,Other,,,,,,,,Road,50,Mile,US Gallon,On-Road Diesel Fuel,0.20262,,Kilogram,Mile,,
Bus - CNG,US,1.966,Gram,Mile,0.175,Gram,Mile,,Road,2.4,Mile,US Gallon,CNG,,,,,,
Bus - Ethanol,US,0.197,Gram,Mile,0.175,Gram,Mile,,Road,5,Mile,US Gallon,Ethanol,,1.112,Kilogram,Mile,,
Bus - Diesel,US,0.0051,Gram,Mile,0.0048,Gram,Mile,,Road,3.7,Mile,US Gallon,On-Road Diesel Fuel,2.743243243,,Kilogram,Mile,,
Bus - Gasoline,US,0.021,Gram,Mile,0.017,Gram,Mile,,Road,5,Mile,US Gallon,Gasoline/Petrol,1.762,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1984-1993,US,0.0704,Gram,Mile,0.0647,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1994,US,0.0531,Gram,Mile,0.056,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1995,US,0.0358,Gram,Mile,0.0473,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1996,US,0.0272,Gram,Mile,0.0426,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1997,US,0.0268,Gram,Mile,0.0422,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1998,US,0.0249,Gram,Mile,0.0393,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1999,US,0.0216,Gram,Mile,0.0337,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2000,US,0.0178,Gram,Mile,0.0273,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2001,US,0.011,Gram,Mile,0.0158,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2002,US,0.0107,Gram,Mile,0.0153,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2003,US,0.0114,Gram,Mile,0.0135,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2004,US,0.0145,Gram,Mile,0.0083,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2005-present,US,0.0147,Gram,Mile,0.0079,Gram,Mile,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.391555556,,Kilogram,Mile,,
Passenger Car - Diesel - Year 1960-1982,US,0.0006,Gram,Mile,0.0012,Gram,Mile,,Road,22.5,Mile,US Gallon,On-Road Diesel Fuel,0.451111111,,Kilogram,Mile,,
Passenger Car - Diesel - Year 1983-present,US,0.0005,Gram,Mile,0.001,Gram,Mile,,Road,22.5,Mile,US Gallon,On-Road Diesel Fuel,0.451111111,,Kilogram,Mile,,
Passenger Car - Fuel Unknown,US,0.031,Gram,Mile,0.032,Gram,Mile,,Road,22.5,Mile,US Gallon,,,,,,,
Light Goods Vehicle - CNG,US,0.737,Gram,Mile,0.05,Gram,Mile,,Road,16.2,Mile,US Gallon,CNG,,,,,,
Light Goods Vehicle - LPG,US,0.037,Gram,Mile,0.067,Gram,Mile,,Road,16.2,Mile,US Gallon,LPG,0.357407407,,Kilogram,Mile,,
Light Goods Vehicle - Ethanol,US,0.055,Gram,Mile,0.067,Gram,Mile,,Road,16.2,Mile,US Gallon,Ethanol,,0.343209877,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1987-1993,US,0.0813,Gram,Mile,0.1035,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1994,US,0.0646,Gram,Mile,0.0982,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1995,US,0.0517,Gram,Mile,0.0908,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1996,US,0.0452,Gram,Mile,0.0871,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1997,US,0.0452,Gram,Mile,0.0871,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1998,US,0.0391,Gram,Mile,0.0728,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1999,US,0.0321,Gram,Mile,0.0564,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2000,US,0.0346,Gram,Mile,0.0621,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2001,US,0.0151,Gram,Mile,0.0164,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2002,US,0.0178,Gram,Mile,0.0228,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2003,US,0.0155,Gram,Mile,0.0114,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2004,US,0.0152,Gram,Mile,0.0132,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 2005-present,US,0.0157,Gram,Mile,0.0101,Gram,Mile,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.54382716,,Kilogram,Mile,,
Light Goods Vehicle - Diesel - Year 1960-1982,US,0.0011,Gram,Mile,0.0017,Gram,Mile,,Road,16.2,Mile,US Gallon,On-Road Diesel Fuel,0.62654321,,Kilogram,Mile,,
Light Goods Vehicle - Diesel - Year 1983-1995,US,0.0009,Gram,Mile,0.0014,Gram,Mile,,Road,16.2,Mile,US Gallon,On-Road Diesel Fuel,0.62654321,,Kilogram,Mile,,
Light Goods Vehicle - Diesel - Year 1996-present,US,0.001,Gram,Mile,0.0015,Gram,Mile,,Road,16.2,Mile,US Gallon,On-Road Diesel Fuel,0.62654321,,Kilogram,Mile,,
Light Goods Vehicle - Fuel Unknown,US,0.036,Gram,Mile,0.047,Gram,Mile,,Road,16.2,Mile,US Gallon,,,,,,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1985-1986,US,0.409,Gram,Mile,0.0515,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1987,US,0.3675,Gram,Mile,0.0849,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1988-1989,US,0.3492,Gram,Mile,0.0933,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1990-1995,US,0.3246,Gram,Mile,0.1142,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1996,US,0.1278,Gram,Mile,0.168,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1997,US,0.0924,Gram,Mile,0.1726,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1998,US,0.0641,Gram,Mile,0.1693,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 1999,US,0.0578,Gram,Mile,0.1435,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2000,US,0.0493,Gram,Mile,0.1092,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2001,US,0.0528,Gram,Mile,0.1235,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2002,US,0.0546,Gram,Mile,0.1307,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2003,US,0.0533,Gram,Mile,0.124,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2004,US,0.0341,Gram,Mile,0.0285,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Gasoline - Year 2005-present,US,0.0326,Gram,Mile,0.0177,Gram,Mile,,Road,8.8,Mile,US Gallon,Gasoline/Petrol,1.001136364,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Diesel - Year 1960-present,US,0.0051,Gram,Mile,0.0048,Gram,Mile,,Road,8.8,Mile,US Gallon,On-Road Diesel Fuel,1.153409091,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - CNG,US,1.966,Gram,Mile,0.175,Gram,Mile,,Road,8.8,Mile,US Gallon,CNG,,,,,,
Heavy Duty Vehicle - Rigid - LNG,US,1.966,Gram,Mile,0.175,Gram,Mile,,Road,8.8,Mile,US Gallon,LNG,0.506818182,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - LPG,US,0.066,Gram,Mile,0.175,Gram,Mile,,Road,8.8,Mile,US Gallon,LPG,0.657954545,,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Ethanol,US,0.197,Gram,Mile,0.175,Gram,Mile,,Road,8.8,Mile,US Gallon,Ethanol,,0.631818182,Kilogram,Mile,,
Heavy Duty Vehicle - Rigid - Fuel Unknown,US,0.021,Gram,Mile,0.017,Gram,Mile,,Road,8.8,Mile,US Gallon,,,,,,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1985-1986,US,0.409,Gram,Mile,0.0515,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1987,US,0.3675,Gram,Mile,0.0849,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1988-1989,US,0.3492,Gram,Mile,0.0933,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1990-1995,US,0.3246,Gram,Mile,0.1142,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1996,US,0.1278,Gram,Mile,0.168,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1997,US,0.0924,Gram,Mile,0.1726,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1998,US,0.0641,Gram,Mile,0.1693,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 1999,US,0.0578,Gram,Mile,0.1435,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2000,US,0.0493,Gram,Mile,0.1092,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2001,US,0.0528,Gram,Mile,0.1235,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
Heavy Duty Vehicle - Articulated - Gasoline - Year 2002,US,0.0546,Gram,Mile,0.1307,Gram,Mile,,Road,5.9,Mile,US Gallon,Gasoline/Petrol,1.493220339,,Kilogram,Mile,,
